PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-06-2021,2021,6,3,100.63,15733.43,29079.77,27594.3,101.25,3535.37,3.38
01-06-2021,2021,6,4,100.63,15733.43,29079.77,27594.3,101.25,3535.37,3.38
01-06-2021,2021,6,5,100.63,15733.43,29079.77,27594.3,101.25,3535.37,3.38
01-07-2021,2021,7,1,100.8,15845.2,29476.8,27975.1,100.91,3546.57,3.37
01-07-2021,2021,7,2,100.8,15845.2,29476.8,27975.1,100.91,3546.57,3.37
01-07-2021,2021,7,3,100.8,15845.2,29476.8,27975.1,100.91,3546.57,3.37
01-07-2021,2021,7,4,100.8,15845.2,29476.8,27975.1,100.91,3546.57,3.37
01-07-2021,2021,7,5,100.8,15845.2,29476.8,27975.1,100.91,3546.57,3.37
01-08-2021,2021,8,1,101.26,15890.17,30604.93,28942.9,101.44,3559.6,3.36
01-08-2021,2021,8,2,101.27,15889.93,30601.57,28948.17,101.44,3588.96,3.36
01-08-2021,2021,8,3,101.26,15884.53,30450.87,28810.1,101.44,3540.68,3.42
01-08-2021,2021,8,4,101.31,15879.2,30490.93,28824.53,101.48,3547.75,3.42
01-08-2021,2021,8,5,101.48,15860.2,30599.77,28920.3,101.64,3477.19,3.36
01-09-2021,2021,9,1,101.73,15935.13,31733.07,29910.7,101.97,3572.64,3.36
